,average_area,average_grey,b,g,len,max_area,num_cnt,r,wid,geometry_class,colour_class,overall_class
0,0.002843475341796875,6.1422271728515625,0.02408716455101967,0.02408716455101967,256,0.00826263427734375,20,0.02408716455101967,256,0,0,0
1,0.001648161146375868,9.018600463867188,0.03536706417798996,0.03536706417798996,256,0.00421905517578125,36,0.03536706417798996,256,0,0,0
2,0.006824137369791666,93.07437744140626,0.7569606900215149,0.6047958731651306,256,0.031854248046875,45,0.6953128576278687,320,0,1,1
3,0.004652145673643868,81.21519775390625,0.8026361465454102,0.6629103422164917,256,0.033123779296875,53,0.702836811542511,320,0,2,2
4,0.00826873779296875,92.98736572265625,0.7866231203079224,0.6049494743347168,256,0.021551513671875,8,0.6867510676383972,320,0,1,1
5,0.0023911420036764708,15.24249267578125,0.059774480760097504,0.059774480760097504,256,0.00617218017578125,17,0.059774480760097504,256,0,0,0
6,0.004529708471053686,16.667800903320312,0.06536392867565155,0.06536392867565155,256,0.0222320556640625,39,0.06536392867565155,256,0,0,0
7,0.011758830589849108,10.765439814814815,0.04221741482615471,0.04221741482615471,360,0.02677854938271605,18,0.04221741482615471,360,0,0,0
8,0.0014308582652698863,16.871002197265625,0.06616079807281494,0.06616079807281494,256,0.00348663330078125,11,0.06616079807281494,256,0,0,0
9,0.013118141289437587,11.848765432098766,0.04646574705839157,0.04646574705839157,360,0.030362654320987652,18,0.04646574705839157,360,0,0,0
10,0.011311026936026937,10.967121913580247,0.04300832375884056,0.04300832375884056,360,0.028152006172839507,22,0.04300832375884056,360,0,0,0
11,0.0019478028068141125,41.00371314564398,0.16079887747764587,0.16079887747764587,260,0.014037907337619154,78,0.16079887747764587,347,0,0,0
12,0.0020127227340919385,17.42462158203125,0.06833185255527496,0.06833185255527496,256,0.00644683837890625,69,0.06833185255527496,256,0,0,0
13,0.002971013387044271,17.616775512695312,0.06908539682626724,0.06908539682626724,256,0.00647735595703125,24,0.06908539682626724,256,0,0,0
14,0.011967592592592594,8.93273148148148,0.035030316561460495,0.035030316561460495,360,0.036238425925925924,19,0.035030316561460495,360,0,0,0
15,0.001558685302734375,19.130477905273438,0.07502149045467377,0.07502149045467377,256,0.00688934326171875,20,0.07502149045467377,256,0,0,0
16,0.003363037109375,6.3853607177734375,0.025040632113814354,0.025040632113814354,256,0.00894927978515625,15,0.025040632113814354,256,0,0,0
17,0.009567901234567902,13.1608487654321,0.05161118134856224,0.05161118134856224,360,0.03402391975308642,26,0.05161118134856224,360,0,0,0
18,0.0017522176106770833,4.8692779541015625,0.01909520849585533,0.01909520849585533,256,0.00429534912109375,9,0.01909520849585533,256,0,0,0
19,0.0012054443359375,13.656173706054688,0.05355362594127655,0.05355362594127655,256,0.00152587890625,5,0.05355362594127655,256,0,0,0
20,0.0019335065569196428,4.10321044921875,0.01609102077782154,0.01609102077782154,256,0.0025787353515625,7,0.01609102077782154,256,0,0,0
21,0.0013359917990128597,44.637524867374005,0.17504911124706268,0.17504911124706268,520,0.01791556145004421,158,0.17504911124706268,696,2,0,6
22,0.0076061671239140375,11.913171296296296,0.04671832546591759,0.04671832546591759,360,0.02381944444444444,27,0.04671832546591759,360,0,0,0
23,0.0007647430687619929,49.97259044647217,0.8040288090705872,0.8040288090705872,1024,0.042792320251464844,285,0.8040288090705872,1024,1,2,5
24,0.0021144321986607145,13.53997802734375,0.05309795215725899,0.05309795215725899,256,0.0035400390625,7,0.05309795215725899,256,0,0,0
25,0.0004989819023936701,39.509684562683105,0.8450600504875183,0.8450600504875183,1024,0.03156852722167969,313,0.8450600504875183,1024,1,2,5
26,0.0008875528971354166,19.444366455078125,0.07625243067741394,0.07625243067741394,256,0.0032501220703125,48,0.07625243067741394,256,0,0,0
27,0.003105426656788793,8.581192016601562,0.03365173935890198,0.03365173935890198,256,0.011016845703125,29,0.03365173935890198,256,0,0,0
28,0.002968682183159722,15.459991455078125,0.060627419501543045,0.060627419501543045,256,0.005096435546875,9,0.060627419501543045,256,0,0,0
29,0.0009098301124163192,10.70725298408488,0.04198922961950302,0.04198922961950302,520,0.0014050066312997348,7,0.04198922961950302,696,2,0,6
30,0.00257110595703125,14.61944580078125,0.057331159710884094,0.057331159710884094,256,0.002685546875,5,0.057331159710884094,256,0,0,0
31,0.0009725744074041194,17.719894409179688,0.06948979198932648,0.06948979198932648,256,0.003509521484375,44,0.06948979198932648,256,0,0,0
32,0.0028667449951171875,95.056591796875,0.812455952167511,0.594402015209198,256,0.008380126953125,32,0.674965500831604,320,0,1,1
33,0.0037968412358710107,12.757980346679688,0.05003129690885544,0.05003129690885544,256,0.01213836669921875,47,0.05003129690885544,256,0,0,0
34,0.007314828725961539,79.27388916015624,0.8041434288024902,0.6633425951004028,256,0.050177001953125,39,0.7367708086967468,320,0,2,2
35,0.00299560546875,16.7257080078125,0.06559101492166519,0.06559101492166519,256,0.006500244140625,25,0.06559101492166519,256,0,0,0
36,0.012601080246913579,8.978248456790123,0.035208817571401596,0.035208817571401596,360,0.031581790123456785,20,0.035208817571401596,360,0,0,0
37,0.009048924301609848,120.16903076171874,0.774736225605011,0.4825116991996765,256,0.114263916015625,33,0.6012760996818542,320,0,1,1
38,0.003330089427806713,9.662872314453125,0.037893619388341904,0.037893619388341904,256,0.01633453369140625,27,0.037893619388341904,256,0,0,0
39,0.0025972806490384614,92.18580322265625,0.8170196413993835,0.6061803698539734,256,0.011480712890625,26,0.6870201230049133,320,0,1,1
40,0.006036802779796511,89.13406982421876,0.7648144960403442,0.6296794414520264,256,0.03262939453125,43,0.681412398815155,320,0,1,1
41,0.0034453780562789353,20.5262451171875,0.08049508929252625,0.08049508929252625,256,0.0092315673828125,27,0.08049508929252625,256,0,0,0
42,0.0016206698079725035,55.88030227674624,0.2191384732723236,0.2191384732723236,520,0.021245026525198937,142,0.2191384732723236,696,2,0,6
43,0.014104754556143444,13.003132716049382,0.05099267512559891,0.05099267512559891,360,0.041165123456790124,21,0.05099267512559891,360,0,0,0
44,0.00254058837890625,18.150497436523438,0.07117842882871628,0.07117842882871628,256,0.00399017333984375,21,0.07117842882871628,256,0,0,0
45,0.0016499887666507225,6.840442639257295,0.02682526223361492,0.02682526223361492,520,0.003938715738284704,61,0.02682526223361492,696,2,0,6
46,0.0017973581949869792,4.407684326171875,0.01728503778576851,0.01728503778576851,256,0.00274658203125,12,0.01728503778576851,256,0,0,0
47,0.001663133555195337,31.213138262599468,0.12240447103977203,0.12240447103977203,520,0.008338859416445623,108,0.12240447103977203,696,2,0,6
48,0.0011176437628073771,26.6923828125,0.1046760231256485,0.1046760231256485,256,0.00533294677734375,61,0.1046760231256485,256,0,0,0
49,0.0027398471174568963,96.7177734375,0.8088639378547668,0.5862067937850952,256,0.008001708984375,29,0.6733635067939758,320,0,1,1
50,0.001708984375,4.6831512451171875,0.018365299329161644,0.018365299329161644,256,0.00284576416015625,10,0.018365299329161644,256,0,0,0
51,0.00233612060546875,4.3586883544921875,0.01709289662539959,0.01709289662539959,256,0.00797271728515625,15,0.01709289662539959,256,0,0,0
52,0.012206861707899305,100.9309814453125,0.7524462938308716,0.3260023593902588,256,0.356365966796875,36,0.5101170539855957,320,0,1,1
53,0.0008370314972310127,5.061175537109375,0.019847746938467026,0.019847746938467026,512,0.01123046875,79,0.019847746938467026,640,2,0,6
54,0.013727054905782977,9.125586419753086,0.03578661009669304,0.03578661009669304,360,0.03037808641975309,19,0.03578661009669304,360,0,0,0
55,0.004802734375,68.646630859375,0.7930607795715332,0.7211989760398865,256,0.02000732421875,25,0.7417575120925903,320,0,2,2
56,0.001705717653993516,28.632056808134394,0.11228258162736893,0.11228258162736893,520,0.009969053934571176,126,0.11228258162736893,696,2,0,6
57,0.011259077705156136,8.972175925925926,0.03518500179052353,0.03518500179052353,360,0.032874228395061725,17,0.03518500179052353,360,0,0,0
58,0.004969926313920454,70.0248046875,0.791107177734375,0.7111689448356628,256,0.02587890625,33,0.750860333442688,320,0,2,2
59,0.0019998550415039062,3.2757720947265625,0.012846164405345917,0.012846164405345917,256,0.00411224365234375,8,0.012846164405345917,256,0,0,0
60,0.002254062228732639,5.049407958984375,0.01980159990489483,0.01980159990489483,256,0.00368499755859375,9,0.01980159990489483,256,0,0,0
61,0.001888578375647341,10.258595822281167,0.040229786187410355,0.040229786187410355,520,0.009405393457117595,140,0.040229786187410355,696,2,0,6
62,0.0012902153862847222,4.7979736328125,0.018815582618117332,0.018815582618117332,256,0.00189208984375,9,0.018815582618117332,256,0,0,0
63,0.0010437263885539748,26.40374944739169,0.10354413092136383,0.10354413092136383,520,0.043314820954907164,55,0.10354413092136383,696,2,0,6
64,0.001991603108317806,49.49873642207936,0.19411270320415497,0.19411270320415497,260,0.01884837064952339,74,0.19411270320415497,347,0,0,0
65,0.0007778601212935014,37.2323637008667,0.8539907336235046,0.8539907336235046,1024,0.045238494873046875,165,0.8539907336235046,1024,1,2,5
66,0.009953703703703704,11.032283950617284,0.04326386749744415,0.04326386749744415,360,0.0227662037037037,22,0.04326386749744415,360,0,0,0
67,0.0010736638849431818,13.63067626953125,0.053453631699085236,0.053453631699085236,256,0.00286102294921875,11,0.053453631699085236,256,0,0,0
68,0.0022023518880208335,16.592376708984375,0.06506814807653427,0.06506814807653427,256,0.00466156005859375,12,0.06506814807653427,256,0,0,0
69,0.00046275012506114595,47.820523262023926,0.812468409538269,0.812468409538269,1024,0.06977176666259766,551,0.812468409538269,1024,1,2,5
70,0.001731819186560566,8.467965296198054,0.03320771083235741,0.03320771083235741,520,0.005096430150309461,75,0.03320771083235741,696,2,0,6
71,0.0018300765599959935,12.550262451171875,0.04921671748161316,0.04921671748161316,256,0.00490570068359375,39,0.04921671748161316,256,0,0,0
72,0.014609182098765432,12.977916666666667,0.050893791019916534,0.050893791019916534,360,0.03777006172839506,20,0.050893791019916534,360,0,0,0
73,0.002942171963778409,14.72589111328125,0.057748597115278244,0.057748597115278244,256,0.0052642822265625,11,0.057748597115278244,256,0,0,0
74,0.001388888888888889,25.641311645507812,0.10055417567491531,0.10055417567491531,256,0.0051727294921875,45,0.10055417567491531,256,0,0,0
75,0.001585975387160732,11.738016688771,0.04603143408894539,0.04603143408894539,520,0.006791556145004421,132,0.04603143408894539,696,2,0,6
76,0.003678265739889706,49.0119873046875,0.8398962020874023,0.8051332235336304,256,0.01810302734375,17,0.8056257367134094,320,0,2,2
77,0.0014784071180555555,8.88092041015625,0.03482713922858238,0.03482713922858238,256,0.004058837890625,27,0.03482713922858238,256,0,0,0
78,0.0020926339285714285,4.3254852294921875,0.0169626884162426,0.0169626884162426,256,0.0061798095703125,7,0.0169626884162426,256,0,0,0
79,0.0024118423461914062,15.226348876953125,0.05971117317676544,0.05971117317676544,256,0.00319671630859375,8,0.05971117317676544,256,0,0,0
80,0.004427083333333333,104.34970703125,0.7819300889968872,0.5531856417655945,256,0.03104248046875,30,0.6528807282447815,320,0,1,1
81,0.002094268798828125,15.612319946289062,0.06122478097677231,0.06122478097677231,256,0.002410888671875,6,0.06122478097677231,256,0,0,0
82,0.0017634073893229166,5.24896240234375,0.020584166049957275,0.020584166049957275,256,0.00308990478515625,15,0.020584166049957275,256,0,0,0
83,0.00406547214673913,58.4063720703125,0.8109060525894165,0.760295033454895,256,0.025823974609375,23,0.7934053540229797,320,0,2,2
84,0.002227783203125,4.8688812255859375,0.019093651324510574,0.019093651324510574,256,0.00511932373046875,8,0.019093651324510574,256,0,0,0
85,0.012659185453569512,10.266635802469136,0.040261320769786835,0.040261320769786835,360,0.04572145061728395,23,0.040261320769786835,360,0,0,0
86,0.001568900714971789,12.130702917771883,0.047571390867233276,0.047571390867233276,520,0.007852564102564102,139,0.047571390867233276,696,2,0,6
